"interaction","cell1","cell2","p-value"
"INHBB_ACVR1C_ACVR2A","Lamina Propia","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2A","Lung","Subcutaneous Lymph Node","0.03"
"INHBB_ACVR1C_ACVR2A","Lymph Node","Subcutaneous Lymph Node","0.01"
"INHBB_ACVR1C_ACVR2A","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2A","Spleen","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2A","Splenic","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2A","Thymus","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Thymus","0"
"INHBB_ACVR1C_ACVR2B","Bone Marrow","Adipose Tissue","0.01"
"INHBB_ACVR1C_ACVR2B","Lamina Propia","Adipose Tissue","0.03"
"INHBB_ACVR1C_ACVR2B","Lung","Adipose Tissue","0.02"
"INHBB_ACVR1C_ACVR2B","Lymph Node","Adipose Tissue","0.01"
"INHBB_ACVR1C_ACVR2B","Peritoneal Cavity","Adipose Tissue","0.01"
"INHBB_ACVR1C_ACVR2B","Spleen","Adipose Tissue","0.01"
"INHBB_ACVR1C_ACVR2B","Splenic","Adipose Tissue","0.01"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Adipose Tissue","0"
"INHBB_ACVR1C_ACVR2B","Thymus","Adipose Tissue","0.01"
"INHBB_ACVR1C_ACVR2B","Bone Marrow","Blood","0.03"
"INHBB_ACVR1C_ACVR2B","Lamina Propia","Blood","0.04"
"INHBB_ACVR1C_ACVR2B","Peritoneal Cavity","Blood","0.01"
"INHBB_ACVR1C_ACVR2B","Spleen","Blood","0.03"
"INHBB_ACVR1C_ACVR2B","Splenic","Blood","0.04"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Blood","0"
"INHBB_ACVR1C_ACVR2B","Thymus","Blood","0.03"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Bone Marrow","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Brain","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Colon","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Gut","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Heart","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Lamina Propia","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Liver","0.01"
"INHBB_ACVR1C_ACVR2B","Peritoneal Cavity","Lung","0.03"
"INHBB_ACVR1C_ACVR2B","Spleen","Lung","0.04"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Lung","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Small Intestine","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Spleen","0"
"INHBB_ACVR1C_ACVR2B","Bone Marrow","Splenic","0.02"
"INHBB_ACVR1C_ACVR2B","Lung","Splenic","0.03"
"INHBB_ACVR1C_ACVR2B","Lymph Node","Splenic","0.02"
"INHBB_ACVR1C_ACVR2B","Peritoneal Cavity","Splenic","0"
"INHBB_ACVR1C_ACVR2B","Spleen","Splenic","0.01"
"INHBB_ACVR1C_ACVR2B","Splenic","Splenic","0.01"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Splenic","0"
"INHBB_ACVR1C_ACVR2B","Thymus","Splenic","0.02"
"INHBB_ACVR1C_ACVR2B","Bone Marrow","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Lamina Propia","Subcutaneous Lymph Node","0.04"
"INHBB_ACVR1C_ACVR2B","Lung","Subcutaneous Lymph Node","0.02"
"INHBB_ACVR1C_ACVR2B","Lymph Node","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Spleen","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Splenic","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Thymus","Subcutaneous Lymph Node","0"
"INHBB_ACVR1C_ACVR2B","Bone Marrow","Thymus","0"
"INHBB_ACVR1C_ACVR2B","Lamina Propia","Thymus","0.02"
"INHBB_ACVR1C_ACVR2B","Lymph Node","Thymus","0.03"
"INHBB_ACVR1C_ACVR2B","Peritoneal Cavity","Thymus","0"
"INHBB_ACVR1C_ACVR2B","Spleen","Thymus","0"
"INHBB_ACVR1C_ACVR2B","Splenic","Thymus","0.01"
"INHBB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Thymus","0"
"INHBB_ACVR1C_ACVR2B","Thymus","Thymus","0.01"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Adipose Tissue","0"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Blood","0.01"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Blood","0.02"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Blood","0.01"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Blood","0"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Bone Marrow","0.04"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Bone Marrow","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Bone Marrow","0"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Brain","0.04"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Brain","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Colon","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Gut","0.01"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Heart","0.03"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Heart","0.04"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Heart","0.04"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Heart","0"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Lamina Propia","0.02"
"INHBABB_ACVR1B_ACVR2A","Lung","Lamina Propia","0.03"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Lamina Propia","0.01"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Lamina Propia","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Lamina Propia","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Liver","0"
"INHBABB_ACVR1B_ACVR2A","Bone Marrow","Lung","0.04"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Lung","0"
"INHBABB_ACVR1B_ACVR2A","Lung","Lung","0.02"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Lung","0.02"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Lung","0"
"INHBABB_ACVR1B_ACVR2A","Spleen","Lung","0.03"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Lung","0"
"INHBABB_ACVR1B_ACVR2A","Bone Marrow","Lymph Node","0.03"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Lung","Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Lymph Node","0.01"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Spleen","Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Thymus","Lymph Node","0.02"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"INHBABB_ACVR1B_ACVR2A","Bone Marrow","Small Intestine","0.03"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Small Intestine","0"
"INHBABB_ACVR1B_ACVR2A","Lung","Small Intestine","0.04"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Small Intestine","0"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Small Intestine","0"
"INHBABB_ACVR1B_ACVR2A","Spleen","Small Intestine","0.04"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Small Intestine","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Spleen","0"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Splenic","0.02"
"INHBABB_ACVR1B_ACVR2A","Lung","Splenic","0.04"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Splenic","0"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Splenic","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Splenic","0"
"INHBABB_ACVR1B_ACVR2A","Bone Marrow","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Heart","Subcutaneous Lymph Node","0.04"
"INHBABB_ACVR1B_ACVR2A","Lamina Propia","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Lung","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Lymph Node","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Spleen","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Splenic","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Thymus","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2A","Subcutaneous Lymph Node","Thymus","0"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Adipose Tissue","0.02"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Adipose Tissue","0.04"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Adipose Tissue","0"
"INHBABB_ACVR1B_ACVR2B","Heart","Blood","0.03"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Blood","0"
"INHBABB_ACVR1B_ACVR2B","Lung","Blood","0.04"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Blood","0.01"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Blood","0.01"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Blood","0"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Bone Marrow","0.02"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Bone Marrow","0"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Bone Marrow","0"
"INHBABB_ACVR1B_ACVR2B","Spleen","Bone Marrow","0.02"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Bone Marrow","0"
"INHBABB_ACVR1B_ACVR2B","Bone Marrow","Brain","0.03"
"INHBABB_ACVR1B_ACVR2B","Heart","Brain","0.03"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Brain","0.01"
"INHBABB_ACVR1B_ACVR2B","Lung","Brain","0.03"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Brain","0.01"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Brain","0.01"
"INHBABB_ACVR1B_ACVR2B","Spleen","Brain","0.02"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Brain","0"
"INHBABB_ACVR1B_ACVR2B","Thymus","Brain","0.04"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Heart","0.01"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Lamina Propia","0"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Liver","0.01"
"INHBABB_ACVR1B_ACVR2B","Bone Marrow","Lung","0.03"
"INHBABB_ACVR1B_ACVR2B","Heart","Lung","0.04"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Lung","0"
"INHBABB_ACVR1B_ACVR2B","Lung","Lung","0.01"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Lung","0"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Lung","0"
"INHBABB_ACVR1B_ACVR2B","Spleen","Lung","0.02"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Lung","0"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Peritoneal Cavity","0.02"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Peritoneal Cavity","0.04"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Peritoneal Cavity","0"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Small Intestine","0"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Spleen","0"
"INHBABB_ACVR1B_ACVR2B","Bone Marrow","Splenic","0.03"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Splenic","0.01"
"INHBABB_ACVR1B_ACVR2B","Lung","Splenic","0.01"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Splenic","0"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Splenic","0"
"INHBABB_ACVR1B_ACVR2B","Spleen","Splenic","0.02"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Splenic","0"
"INHBABB_ACVR1B_ACVR2B","Bone Marrow","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Lung","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Spleen","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Splenic","Subcutaneous Lymph Node","0.03"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Thymus","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1B_ACVR2B","Bone Marrow","Thymus","0.04"
"INHBABB_ACVR1B_ACVR2B","Lamina Propia","Thymus","0"
"INHBABB_ACVR1B_ACVR2B","Lung","Thymus","0.01"
"INHBABB_ACVR1B_ACVR2B","Lymph Node","Thymus","0.01"
"INHBABB_ACVR1B_ACVR2B","Peritoneal Cavity","Thymus","0"
"INHBABB_ACVR1B_ACVR2B","Spleen","Thymus","0.01"
"INHBABB_ACVR1B_ACVR2B","Subcutaneous Lymph Node","Thymus","0"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Adipose Tissue","0"
"INHBABB_ACVR1C_ACVR2A","Lung","Adipose Tissue","0.04"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Adipose Tissue","0"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Adipose Tissue","0.02"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Adipose Tissue","0"
"INHBABB_ACVR1C_ACVR2A","Heart","Blood","0.04"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Blood","0"
"INHBABB_ACVR1C_ACVR2A","Lung","Blood","0.04"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Blood","0"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Blood","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Blood","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Bone Marrow","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Brain","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Colon","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Gut","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Heart","0"
"INHBABB_ACVR1C_ACVR2A","Bone Marrow","Lamina Propia","0.01"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Lamina Propia","0"
"INHBABB_ACVR1C_ACVR2A","Lung","Lamina Propia","0.01"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Lamina Propia","0"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Lamina Propia","0"
"INHBABB_ACVR1C_ACVR2A","Spleen","Lamina Propia","0"
"INHBABB_ACVR1C_ACVR2A","Splenic","Lamina Propia","0.01"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Lamina Propia","0"
"INHBABB_ACVR1C_ACVR2A","Thymus","Lamina Propia","0.01"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Liver","0.01"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Lung","0.01"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Lung","0.02"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Lung","0.03"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Lung","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"INHBABB_ACVR1C_ACVR2A","Bone Marrow","Small Intestine","0.01"
"INHBABB_ACVR1C_ACVR2A","Heart","Small Intestine","0.04"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Small Intestine","0"
"INHBABB_ACVR1C_ACVR2A","Lung","Small Intestine","0.01"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Small Intestine","0.01"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Small Intestine","0"
"INHBABB_ACVR1C_ACVR2A","Spleen","Small Intestine","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Small Intestine","0"
"INHBABB_ACVR1C_ACVR2A","Thymus","Small Intestine","0.02"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Spleen","0"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Splenic","0.02"
"INHBABB_ACVR1C_ACVR2A","Lung","Splenic","0.03"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Splenic","0"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Splenic","0"
"INHBABB_ACVR1C_ACVR2A","Spleen","Splenic","0.03"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Splenic","0"
"INHBABB_ACVR1C_ACVR2A","Bone Marrow","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Heart","Subcutaneous Lymph Node","0.03"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Lung","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Lymph Node","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Spleen","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Splenic","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"INHBABB_ACVR1C_ACVR2A","Thymus","Subcutaneous Lymph Node","0.01"
"INHBABB_ACVR1C_ACVR2A","Lamina Propia","Thymus","0.04"
"INHBABB_ACVR1C_ACVR2A","Peritoneal Cavity","Thymus","0.02"
"INHBABB_ACVR1C_ACVR2A","Subcutaneous Lymph Node","Thymus","0"
"INHB_ACVR1C_ACVR2B","Bone Marrow","Adipose Tissue","0.02"
"INHB_ACVR1C_ACVR2B","Heart","Adipose Tissue","0.02"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Adipose Tissue","0"
"INHB_ACVR1C_ACVR2B","Lung","Adipose Tissue","0.01"
"INHB_ACVR1C_ACVR2B","Lymph Node","Adipose Tissue","0"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Adipose Tissue","0"
"INHB_ACVR1C_ACVR2B","Spleen","Adipose Tissue","0.01"
"INHB_ACVR1C_ACVR2B","Splenic","Adipose Tissue","0.04"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Adipose Tissue","0"
"INHB_ACVR1C_ACVR2B","Thymus","Adipose Tissue","0.03"
"INHB_ACVR1C_ACVR2B","Bone Marrow","Blood","0.03"
"INHB_ACVR1C_ACVR2B","Heart","Blood","0.01"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Blood","0"
"INHB_ACVR1C_ACVR2B","Lung","Blood","0.01"
"INHB_ACVR1C_ACVR2B","Lymph Node","Blood","0"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Blood","0"
"INHB_ACVR1C_ACVR2B","Spleen","Blood","0.03"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Blood","0"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Bone Marrow","0.04"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Bone Marrow","0"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Bone Marrow","0"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Brain","0.04"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Brain","0"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Gut","0.04"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Heart","0.03"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Lamina Propia","0"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Lung","0"
"INHB_ACVR1C_ACVR2B","Lung","Lung","0.01"
"INHB_ACVR1C_ACVR2B","Lymph Node","Lung","0.02"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Lung","0.01"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Lung","0"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Lymph Node","0"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Small Intestine","0"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Spleen","0"
"INHB_ACVR1C_ACVR2B","Bone Marrow","Splenic","0.03"
"INHB_ACVR1C_ACVR2B","Heart","Splenic","0.03"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Splenic","0.02"
"INHB_ACVR1C_ACVR2B","Lung","Splenic","0.03"
"INHB_ACVR1C_ACVR2B","Lymph Node","Splenic","0"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Splenic","0"
"INHB_ACVR1C_ACVR2B","Spleen","Splenic","0.02"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Splenic","0"
"INHB_ACVR1C_ACVR2B","Bone Marrow","Subcutaneous Lymph Node","0.01"
"INHB_ACVR1C_ACVR2B","Heart","Subcutaneous Lymph Node","0.03"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Subcutaneous Lymph Node","0"
"INHB_ACVR1C_ACVR2B","Lung","Subcutaneous Lymph Node","0"
"INHB_ACVR1C_ACVR2B","Lymph Node","Subcutaneous Lymph Node","0"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"INHB_ACVR1C_ACVR2B","Spleen","Subcutaneous Lymph Node","0.01"
"INHB_ACVR1C_ACVR2B","Splenic","Subcutaneous Lymph Node","0.02"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"INHB_ACVR1C_ACVR2B","Thymus","Subcutaneous Lymph Node","0.01"
"INHB_ACVR1C_ACVR2B","Bone Marrow","Thymus","0"
"INHB_ACVR1C_ACVR2B","Heart","Thymus","0.04"
"INHB_ACVR1C_ACVR2B","Lamina Propia","Thymus","0"
"INHB_ACVR1C_ACVR2B","Lung","Thymus","0"
"INHB_ACVR1C_ACVR2B","Lymph Node","Thymus","0"
"INHB_ACVR1C_ACVR2B","Peritoneal Cavity","Thymus","0"
"INHB_ACVR1C_ACVR2B","Spleen","Thymus","0.01"
"INHB_ACVR1C_ACVR2B","Subcutaneous Lymph Node","Thymus","0"
"INHABA_ACVR2A","Bone Marrow","Blood","0.01"
"INHABA_ACVR2A","Lamina Propia","Blood","0.02"
"INHABA_ACVR2A","Lymph Node","Blood","0.03"
"INHABA_ACVR2A","Peritoneal Cavity","Blood","0.04"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Blood","0"
"INHABA_ACVR2A","Bone Marrow","Bone Marrow","0"
"INHABA_ACVR2A","Lamina Propia","Bone Marrow","0.02"
"INHABA_ACVR2A","Lymph Node","Bone Marrow","0.02"
"INHABA_ACVR2A","Peritoneal Cavity","Bone Marrow","0.01"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Bone Marrow","0"
"INHABA_ACVR2A","Adipose Tissue","Brain","0.03"
"INHABA_ACVR2A","Bone Marrow","Brain","0.01"
"INHABA_ACVR2A","Lamina Propia","Brain","0.01"
"INHABA_ACVR2A","Lung","Brain","0.04"
"INHABA_ACVR2A","Lymph Node","Brain","0.01"
"INHABA_ACVR2A","Peritoneal Cavity","Brain","0.03"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Brain","0.02"
"INHABA_ACVR2A","Bone Marrow","Colon","0.03"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Colon","0.01"
"INHABA_ACVR2A","Adipose Tissue","Lamina Propia","0.02"
"INHABA_ACVR2A","Bone Marrow","Lamina Propia","0"
"INHABA_ACVR2A","Heart","Lamina Propia","0.04"
"INHABA_ACVR2A","Lamina Propia","Lamina Propia","0.01"
"INHABA_ACVR2A","Lung","Lamina Propia","0"
"INHABA_ACVR2A","Lymph Node","Lamina Propia","0"
"INHABA_ACVR2A","Peritoneal Cavity","Lamina Propia","0"
"INHABA_ACVR2A","Spleen","Lamina Propia","0"
"INHABA_ACVR2A","Splenic","Lamina Propia","0"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Lamina Propia","0"
"INHABA_ACVR2A","Thymus","Lamina Propia","0"
"INHABA_ACVR2A","Bone Marrow","Lung","0.03"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Lung","0"
"INHABA_ACVR2A","Adipose Tissue","Lymph Node","0.04"
"INHABA_ACVR2A","Bone Marrow","Lymph Node","0"
"INHABA_ACVR2A","Heart","Lymph Node","0.04"
"INHABA_ACVR2A","Lamina Propia","Lymph Node","0.01"
"INHABA_ACVR2A","Lung","Lymph Node","0.01"
"INHABA_ACVR2A","Lymph Node","Lymph Node","0.01"
"INHABA_ACVR2A","Peritoneal Cavity","Lymph Node","0"
"INHABA_ACVR2A","Spleen","Lymph Node","0"
"INHABA_ACVR2A","Splenic","Lymph Node","0.03"
"INHABA_ACVR2A","Subcutaneous Lymph Node","Lymph Node","0"
