"interaction","cell1","cell2","p-value"
"INHBABB_ACVR1B_ACVR2B","Stem Cells","Stem Cells","0.02"
"INHBABB_ACVR1B_ACVR2B","Stromal Cells","Stem Cells","0"
"INHBABB_ACVR1B_ACVR2B","T Cell","Stem Cells","0"
"INHBABB_ACVR1B_ACVR2B","ab T Cell","Stromal Cells","0.01"
"INHBABB_ACVR1B_ACVR2B","B Cell","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","Basophils","Stromal Cells","0.03"
"INHBABB_ACVR1B_ACVR2B","Dendritic cells","Stromal Cells","0.04"
"INHBABB_ACVR1B_ACVR2B","Eosinophil","Stromal Cells","0.01"
"INHBABB_ACVR1B_ACVR2B","gd T cells","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","Granulocytes","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","Innate Lymphocytes","Stromal Cells","0.01"
"INHBABB_ACVR1B_ACVR2B","Macrophage","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","Mast Cells","Stromal Cells","0.01"
"INHBABB_ACVR1B_ACVR2B","NK Cell","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","Stem Cells","Stromal Cells","0.01"
"INHBABB_ACVR1B_ACVR2B","Stromal Cells","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","T Cell","Stromal Cells","0"
"INHBABB_ACVR1B_ACVR2B","Granulocytes","T Cell","0"
"INHBABB_ACVR1B_ACVR2B","Stromal Cells","T Cell","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","ab T Cell","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","ab T Cell","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","B Cell","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","B Cell","0"
"INHBABB_ACVR1C_ACVR2A","Eosinophil","Basophils","0.02"
"INHBABB_ACVR1C_ACVR2A","gd T cells","Basophils","0.04"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Basophils","0"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Basophils","0.01"
"INHBABB_ACVR1C_ACVR2A","Mast Cells","Basophils","0.04"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Basophils","0"
"INHBABB_ACVR1C_ACVR2A","ab T Cell","Dendritic cells","0.02"
"INHBABB_ACVR1C_ACVR2A","B Cell","Dendritic cells","0.02"
"INHBABB_ACVR1C_ACVR2A","Basophils","Dendritic cells","0.02"
"INHBABB_ACVR1C_ACVR2A","Eosinophil","Dendritic cells","0"
"INHBABB_ACVR1C_ACVR2A","gd T cells","Dendritic cells","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Dendritic cells","0"
"INHBABB_ACVR1C_ACVR2A","Innate Lymphocytes","Dendritic cells","0.01"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Dendritic cells","0"
"INHBABB_ACVR1C_ACVR2A","Mast Cells","Dendritic cells","0.01"
"INHBABB_ACVR1C_ACVR2A","NK Cell","Dendritic cells","0.02"
"INHBABB_ACVR1C_ACVR2A","Stem Cells","Dendritic cells","0.01"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Dendritic cells","0"
"INHBABB_ACVR1C_ACVR2A","T Cell","Dendritic cells","0.01"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Eosinophil","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Eosinophil","0"
"INHBABB_ACVR1C_ACVR2A","Eosinophil","gd T cells","0.01"
"INHBABB_ACVR1C_ACVR2A","gd T cells","gd T cells","0.03"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","gd T cells","0"
"INHBABB_ACVR1C_ACVR2A","Innate Lymphocytes","gd T cells","0.03"
"INHBABB_ACVR1C_ACVR2A","Macrophage","gd T cells","0"
"INHBABB_ACVR1C_ACVR2A","Mast Cells","gd T cells","0.03"
"INHBABB_ACVR1C_ACVR2A","NK Cell","gd T cells","0.04"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","gd T cells","0"
"INHBABB_ACVR1C_ACVR2A","T Cell","gd T cells","0.02"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Granulocytes","0.01"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Granulocytes","0.04"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Granulocytes","0"
"INHBABB_ACVR1C_ACVR2A","ab T Cell","Innate Lymphocytes","0.02"
"INHBABB_ACVR1C_ACVR2A","B Cell","Innate Lymphocytes","0.01"
"INHBABB_ACVR1C_ACVR2A","Basophils","Innate Lymphocytes","0.03"
"INHBABB_ACVR1C_ACVR2A","Eosinophil","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","gd T cells","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","Innate Lymphocytes","Innate Lymphocytes","0.02"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","Mast Cells","Innate Lymphocytes","0.02"
"INHBABB_ACVR1C_ACVR2A","NK Cell","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","Stem Cells","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","T Cell","Innate Lymphocytes","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Macrophage","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Macrophage","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Mast Cells","0.01"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Mast Cells","0"
"INHBABB_ACVR1C_ACVR2A","Eosinophil","Monocytes","0.01"
"INHBABB_ACVR1C_ACVR2A","gd T cells","Monocytes","0.02"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Monocytes","0"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Monocytes","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Monocytes","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","NK Cell","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","NK Cell","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Stem Cells","0"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Stem Cells","0.03"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Stem Cells","0"
"INHBABB_ACVR1C_ACVR2A","ab T Cell","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","B Cell","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Basophils","Stromal Cells","0.02"
"INHBABB_ACVR1C_ACVR2A","Dendritic cells","Stromal Cells","0.01"
"INHBABB_ACVR1C_ACVR2A","Eosinophil","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","gd T cells","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Innate Lymphocytes","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Macrophage","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Mast Cells","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","NK Cell","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Stem Cells","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","T Cell","Stromal Cells","0"
"INHBABB_ACVR1C_ACVR2A","Granulocytes","T Cell","0"
"INHBABB_ACVR1C_ACVR2A","Stromal Cells","T Cell","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","ab T Cell","0"
"INHB_ACVR1C_ACVR2B","Stromal Cells","ab T Cell","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","B Cell","0.01"
"INHB_ACVR1C_ACVR2B","Stromal Cells","B Cell","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Basophils","0"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Basophils","0"
"INHB_ACVR1C_ACVR2B","ab T Cell","Dendritic cells","0.01"
"INHB_ACVR1C_ACVR2B","B Cell","Dendritic cells","0.01"
"INHB_ACVR1C_ACVR2B","Basophils","Dendritic cells","0.01"
"INHB_ACVR1C_ACVR2B","Dendritic cells","Dendritic cells","0.03"
"INHB_ACVR1C_ACVR2B","Eosinophil","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","gd T cells","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","Innate Lymphocytes","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","Macrophage","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","Mast Cells","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","NK Cell","Dendritic cells","0.01"
"INHB_ACVR1C_ACVR2B","Stem Cells","Dendritic cells","0.01"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","T Cell","Dendritic cells","0"
"INHB_ACVR1C_ACVR2B","Eosinophil","Eosinophil","0.03"
"INHB_ACVR1C_ACVR2B","gd T cells","Eosinophil","0.01"
"INHB_ACVR1C_ACVR2B","Granulocytes","Eosinophil","0"
"INHB_ACVR1C_ACVR2B","Macrophage","Eosinophil","0"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Eosinophil","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","gd T cells","0"
"INHB_ACVR1C_ACVR2B","Macrophage","gd T cells","0.02"
"INHB_ACVR1C_ACVR2B","Stromal Cells","gd T cells","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Granulocytes","0.01"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Granulocytes","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Innate Lymphocytes","0.01"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Innate Lymphocytes","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Macrophage","0"
"INHB_ACVR1C_ACVR2B","Macrophage","Macrophage","0.03"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Macrophage","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Mast Cells","0"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Mast Cells","0"
"INHB_ACVR1C_ACVR2B","B Cell","Monocytes","0.04"
"INHB_ACVR1C_ACVR2B","Basophils","Monocytes","0.02"
"INHB_ACVR1C_ACVR2B","Eosinophil","Monocytes","0"
"INHB_ACVR1C_ACVR2B","gd T cells","Monocytes","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Monocytes","0"
"INHB_ACVR1C_ACVR2B","Innate Lymphocytes","Monocytes","0.04"
"INHB_ACVR1C_ACVR2B","Macrophage","Monocytes","0"
"INHB_ACVR1C_ACVR2B","Mast Cells","Monocytes","0.03"
"INHB_ACVR1C_ACVR2B","NK Cell","Monocytes","0.03"
"INHB_ACVR1C_ACVR2B","Stem Cells","Monocytes","0.04"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Monocytes","0"
"INHB_ACVR1C_ACVR2B","T Cell","Monocytes","0.02"
"INHB_ACVR1C_ACVR2B","Granulocytes","NK Cell","0.01"
"INHB_ACVR1C_ACVR2B","Stromal Cells","NK Cell","0"
"INHB_ACVR1C_ACVR2B","ab T Cell","Stem Cells","0.03"
"INHB_ACVR1C_ACVR2B","B Cell","Stem Cells","0.03"
"INHB_ACVR1C_ACVR2B","Basophils","Stem Cells","0.04"
"INHB_ACVR1C_ACVR2B","Eosinophil","Stem Cells","0.01"
"INHB_ACVR1C_ACVR2B","gd T cells","Stem Cells","0.01"
"INHB_ACVR1C_ACVR2B","Granulocytes","Stem Cells","0"
"INHB_ACVR1C_ACVR2B","Innate Lymphocytes","Stem Cells","0.02"
"INHB_ACVR1C_ACVR2B","Macrophage","Stem Cells","0"
"INHB_ACVR1C_ACVR2B","Mast Cells","Stem Cells","0.02"
"INHB_ACVR1C_ACVR2B","NK Cell","Stem Cells","0.02"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Stem Cells","0"
"INHB_ACVR1C_ACVR2B","T Cell","Stem Cells","0.03"
"INHB_ACVR1C_ACVR2B","ab T Cell","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","B Cell","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Basophils","Stromal Cells","0.01"
"INHB_ACVR1C_ACVR2B","Dendritic cells","Stromal Cells","0.02"
"INHB_ACVR1C_ACVR2B","Eosinophil","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","gd T cells","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Innate Lymphocytes","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Macrophage","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Mast Cells","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","NK Cell","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Stem Cells","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Stromal Cells","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","T Cell","Stromal Cells","0"
"INHB_ACVR1C_ACVR2B","Granulocytes","T Cell","0"
"INHB_ACVR1C_ACVR2B","Stromal Cells","T Cell","0"
"INHABA_ACVR2A","Granulocytes","ab T Cell","0"
"INHABA_ACVR2A","Stem Cells","ab T Cell","0"
"INHABA_ACVR2A","Stromal Cells","ab T Cell","0"
"INHABA_ACVR2A","Granulocytes","B Cell","0"
"INHABA_ACVR2A","Stem Cells","B Cell","0"
"INHABA_ACVR2A","Stromal Cells","B Cell","0"
"INHABA_ACVR2A","Granulocytes","Basophils","0"
"INHABA_ACVR2A","Stromal Cells","Basophils","0.04"
"INHABA_ACVR2A","ab T Cell","Dendritic cells","0.03"
"INHABA_ACVR2A","B Cell","Dendritic cells","0.01"
"INHABA_ACVR2A","Basophils","Dendritic cells","0.02"
"INHABA_ACVR2A","Eosinophil","Dendritic cells","0"
"INHABA_ACVR2A","gd T cells","Dendritic cells","0"
"INHABA_ACVR2A","Granulocytes","Dendritic cells","0"
"INHABA_ACVR2A","Innate Lymphocytes","Dendritic cells","0"
"INHABA_ACVR2A","Macrophage","Dendritic cells","0"
"INHABA_ACVR2A","Mast Cells","Dendritic cells","0.04"
"INHABA_ACVR2A","NK Cell","Dendritic cells","0.03"
"INHABA_ACVR2A","Stem Cells","Dendritic cells","0"
"INHABA_ACVR2A","Stromal Cells","Dendritic cells","0"
"INHABA_ACVR2A","T Cell","Dendritic cells","0.02"
"INHABA_ACVR2A","Granulocytes","Eosinophil","0"
"INHABA_ACVR2A","Stem Cells","Eosinophil","0"
"INHABA_ACVR2A","Stromal Cells","Eosinophil","0"
"INHABA_ACVR2A","ab T Cell","gd T cells","0"
"INHABA_ACVR2A","B Cell","gd T cells","0.01"
"INHABA_ACVR2A","Basophils","gd T cells","0.04"
"INHABA_ACVR2A","Eosinophil","gd T cells","0.01"
"INHABA_ACVR2A","gd T cells","gd T cells","0"
"INHABA_ACVR2A","Granulocytes","gd T cells","0"
"INHABA_ACVR2A","Innate Lymphocytes","gd T cells","0"
"INHABA_ACVR2A","Macrophage","gd T cells","0"
"INHABA_ACVR2A","Mast Cells","gd T cells","0.02"
"INHABA_ACVR2A","NK Cell","gd T cells","0"
"INHABA_ACVR2A","Stem Cells","gd T cells","0"
"INHABA_ACVR2A","Stromal Cells","gd T cells","0"
"INHABA_ACVR2A","T Cell","gd T cells","0"
"INHABA_ACVR2A","Granulocytes","Granulocytes","0"
"INHABA_ACVR2A","Stem Cells","Granulocytes","0"
"INHABA_ACVR2A","Stromal Cells","Granulocytes","0"
"INHABA_ACVR2A","ab T Cell","Innate Lymphocytes","0.01"
"INHABA_ACVR2A","B Cell","Innate Lymphocytes","0.01"
"INHABA_ACVR2A","Basophils","Innate Lymphocytes","0.04"
"INHABA_ACVR2A","Eosinophil","Innate Lymphocytes","0"
"INHABA_ACVR2A","gd T cells","Innate Lymphocytes","0"
"INHABA_ACVR2A","Granulocytes","Innate Lymphocytes","0"
"INHABA_ACVR2A","Innate Lymphocytes","Innate Lymphocytes","0"
"INHABA_ACVR2A","Macrophage","Innate Lymphocytes","0"
"INHABA_ACVR2A","Mast Cells","Innate Lymphocytes","0.04"
"INHABA_ACVR2A","NK Cell","Innate Lymphocytes","0"
"INHABA_ACVR2A","Stem Cells","Innate Lymphocytes","0"
"INHABA_ACVR2A","Stromal Cells","Innate Lymphocytes","0"
"INHABA_ACVR2A","T Cell","Innate Lymphocytes","0"
"INHABA_ACVR2A","Granulocytes","Macrophage","0"
"INHABA_ACVR2A","Macrophage","Macrophage","0.01"
"INHABA_ACVR2A","Stem Cells","Macrophage","0"
"INHABA_ACVR2A","Stromal Cells","Macrophage","0"
"INHABA_ACVR2A","Granulocytes","Mast Cells","0"
"INHABA_ACVR2A","Stem Cells","Mast Cells","0.03"
"INHABA_ACVR2A","Stromal Cells","Mast Cells","0"
"INHABA_ACVR2A","Eosinophil","Monocytes","0.04"
"INHABA_ACVR2A","Granulocytes","Monocytes","0"
"INHABA_ACVR2A","Macrophage","Monocytes","0.02"
"INHABA_ACVR2A","Stem Cells","Monocytes","0"
"INHABA_ACVR2A","Stromal Cells","Monocytes","0"
"INHABA_ACVR2A","Granulocytes","NK Cell","0"
"INHABA_ACVR2A","Stem Cells","NK Cell","0"
"INHABA_ACVR2A","Stromal Cells","NK Cell","0"
"INHABA_ACVR2A","Eosinophil","Stem Cells","0.03"
"INHABA_ACVR2A","gd T cells","Stem Cells","0.01"
"INHABA_ACVR2A","Granulocytes","Stem Cells","0"
"INHABA_ACVR2A","Innate Lymphocytes","Stem Cells","0.04"
"INHABA_ACVR2A","Macrophage","Stem Cells","0"
"INHABA_ACVR2A","Stem Cells","Stem Cells","0"
"INHABA_ACVR2A","Stromal Cells","Stem Cells","0"
"INHABA_ACVR2A","ab T Cell","Stromal Cells","0"
"INHABA_ACVR2A","B Cell","Stromal Cells","0"
"INHABA_ACVR2A","Basophils","Stromal Cells","0.01"
"INHABA_ACVR2A","Dendritic cells","Stromal Cells","0.01"
"INHABA_ACVR2A","Eosinophil","Stromal Cells","0"
"INHABA_ACVR2A","gd T cells","Stromal Cells","0"
"INHABA_ACVR2A","Granulocytes","Stromal Cells","0"
"INHABA_ACVR2A","Innate Lymphocytes","Stromal Cells","0"
"INHABA_ACVR2A","Macrophage","Stromal Cells","0"
"INHABA_ACVR2A","Mast Cells","Stromal Cells","0"
"INHABA_ACVR2A","NK Cell","Stromal Cells","0"
"INHABA_ACVR2A","Stem Cells","Stromal Cells","0"
"INHABA_ACVR2A","Stromal Cells","Stromal Cells","0"
"INHABA_ACVR2A","T Cell","Stromal Cells","0"
"INHABA_ACVR2A","Granulocytes","T Cell","0"
"INHABA_ACVR2A","Stem Cells","T Cell","0"
"INHABA_ACVR2A","Stromal Cells","T Cell","0"
"INHABB_ACVR2B","Eosinophil","ab T Cell","0.04"
"INHABB_ACVR2B","Stem Cells","ab T Cell","0"
"INHABB_ACVR2B","Stromal Cells","ab T Cell","0"
"INHABB_ACVR2B","Stromal Cells","B Cell","0"
"INHABB_ACVR2B","Stromal Cells","Basophils","0.01"
"INHABB_ACVR2B","ab T Cell","Dendritic cells","0"
"INHABB_ACVR2B","B Cell","Dendritic cells","0"
"INHABB_ACVR2B","Basophils","Dendritic cells","0.02"
"INHABB_ACVR2B","Dendritic cells","Dendritic cells","0.01"
"INHABB_ACVR2B","Eosinophil","Dendritic cells","0"
"INHABB_ACVR2B","gd T cells","Dendritic cells","0"
"INHABB_ACVR2B","Granulocytes","Dendritic cells","0.01"
"INHABB_ACVR2B","Innate Lymphocytes","Dendritic cells","0"
"INHABB_ACVR2B","Macrophage","Dendritic cells","0"
"INHABB_ACVR2B","Mast Cells","Dendritic cells","0"
"INHABB_ACVR2B","Monocytes","Dendritic cells","0.03"
"INHABB_ACVR2B","NK Cell","Dendritic cells","0"
"INHABB_ACVR2B","Stem Cells","Dendritic cells","0"
"INHABB_ACVR2B","Stromal Cells","Dendritic cells","0"
"INHABB_ACVR2B","T Cell","Dendritic cells","0"
"INHABB_ACVR2B","Eosinophil","Eosinophil","0"
"INHABB_ACVR2B","Mast Cells","Eosinophil","0.03"
"INHABB_ACVR2B","Stem Cells","Eosinophil","0"
"INHABB_ACVR2B","Stromal Cells","Eosinophil","0"
"INHABB_ACVR2B","Eosinophil","gd T cells","0.01"
"INHABB_ACVR2B","Stem Cells","gd T cells","0"
"INHABB_ACVR2B","Stromal Cells","gd T cells","0"
"INHABB_ACVR2B","Stromal Cells","Granulocytes","0"
"INHABB_ACVR2B","Stromal Cells","Innate Lymphocytes","0.01"
"INHABB_ACVR2B","ab T Cell","Macrophage","0"
"INHABB_ACVR2B","B Cell","Macrophage","0"
"INHABB_ACVR2B","Dendritic cells","Macrophage","0.01"
"INHABB_ACVR2B","Eosinophil","Macrophage","0"
"INHABB_ACVR2B","gd T cells","Macrophage","0"
"INHABB_ACVR2B","Granulocytes","Macrophage","0.03"
"INHABB_ACVR2B","Innate Lymphocytes","Macrophage","0"
"INHABB_ACVR2B","Macrophage","Macrophage","0"
"INHABB_ACVR2B","Mast Cells","Macrophage","0"
"INHABB_ACVR2B","NK Cell","Macrophage","0"
"INHABB_ACVR2B","Stem Cells","Macrophage","0"
"INHABB_ACVR2B","Stromal Cells","Macrophage","0"
"INHABB_ACVR2B","T Cell","Macrophage","0"
"INHABB_ACVR2B","Eosinophil","Mast Cells","0.01"
"INHABB_ACVR2B","Stem Cells","Mast Cells","0.01"
"INHABB_ACVR2B","Stromal Cells","Mast Cells","0"
"INHABB_ACVR2B","Eosinophil","Monocytes","0"
"INHABB_ACVR2B","Mast Cells","Monocytes","0.03"
"INHABB_ACVR2B","NK Cell","Monocytes","0.04"
"INHABB_ACVR2B","Stem Cells","Monocytes","0"
"INHABB_ACVR2B","Stromal Cells","Monocytes","0"
"INHABB_ACVR2B","T Cell","Monocytes","0.04"
"INHABB_ACVR2B","Stromal Cells","NK Cell","0.02"
"INHABB_ACVR2B","ab T Cell","Stem Cells","0"
"INHABB_ACVR2B","B Cell","Stem Cells","0"
"INHABB_ACVR2B","Basophils","Stem Cells","0.04"
"INHABB_ACVR2B","Dendritic cells","Stem Cells","0"
"INHABB_ACVR2B","Eosinophil","Stem Cells","0"
"INHABB_ACVR2B","gd T cells","Stem Cells","0"
"INHABB_ACVR2B","Granulocytes","Stem Cells","0.01"
"INHABB_ACVR2B","Innate Lymphocytes","Stem Cells","0"
"INHABB_ACVR2B","Macrophage","Stem Cells","0"
"INHABB_ACVR2B","Mast Cells","Stem Cells","0"
"INHABB_ACVR2B","Monocytes","Stem Cells","0"
"INHABB_ACVR2B","NK Cell","Stem Cells","0"
"INHABB_ACVR2B","Stem Cells","Stem Cells","0"
"INHABB_ACVR2B","Stromal Cells","Stem Cells","0"
"INHABB_ACVR2B","T Cell","Stem Cells","0"
"INHABB_ACVR2B","ab T Cell","Stromal Cells","0"
"INHABB_ACVR2B","B Cell","Stromal Cells","0"
"INHABB_ACVR2B","Dendritic cells","Stromal Cells","0"
"INHABB_ACVR2B","Eosinophil","Stromal Cells","0"
"INHABB_ACVR2B","gd T cells","Stromal Cells","0"
"INHABB_ACVR2B","Granulocytes","Stromal Cells","0.01"
"INHABB_ACVR2B","Innate Lymphocytes","Stromal Cells","0"
"INHABB_ACVR2B","Macrophage","Stromal Cells","0"
"INHABB_ACVR2B","Mast Cells","Stromal Cells","0"
"INHABB_ACVR2B","NK Cell","Stromal Cells","0"
"INHABB_ACVR2B","Stem Cells","Stromal Cells","0"
"INHABB_ACVR2B","Stromal Cells","Stromal Cells","0"
"INHABB_ACVR2B","T Cell","Stromal Cells","0"
"INHABB_ACVR2B","Stromal Cells","T Cell","0.01"
"WNT1_FZD1_LRP5","Eosinophil","ab T Cell","0.01"
"WNT1_FZD1_LRP5","ab T Cell","Dendritic cells","0"
"WNT1_FZD1_LRP5","B Cell","Dendritic cells","0"
"WNT1_FZD1_LRP5","Basophils","Dendritic cells","0.02"
"WNT1_FZD1_LRP5","Dendritic cells","Dendritic cells","0"
"WNT1_FZD1_LRP5","Eosinophil","Dendritic cells","0"
"WNT1_FZD1_LRP5","gd T cells","Dendritic cells","0"
"WNT1_FZD1_LRP5","Granulocytes","Dendritic cells","0"
"WNT1_FZD1_LRP5","Innate Lymphocytes","Dendritic cells","0"
"WNT1_FZD1_LRP5","Macrophage","Dendritic cells","0"
"WNT1_FZD1_LRP5","Mast Cells","Dendritic cells","0"
"WNT1_FZD1_LRP5","Monocytes","Dendritic cells","0"
"WNT1_FZD1_LRP5","NK Cell","Dendritic cells","0"
"WNT1_FZD1_LRP5","Stem Cells","Dendritic cells","0"
"WNT1_FZD1_LRP5","Stromal Cells","Dendritic cells","0"
"WNT1_FZD1_LRP5","T Cell","Dendritic cells","0"
"WNT1_FZD1_LRP5","Eosinophil","gd T cells","0"
"WNT1_FZD1_LRP5","ab T Cell","Macrophage","0"
"WNT1_FZD1_LRP5","B Cell","Macrophage","0"
"WNT1_FZD1_LRP5","Basophils","Macrophage","0"
"WNT1_FZD1_LRP5","Dendritic cells","Macrophage","0"
"WNT1_FZD1_LRP5","Eosinophil","Macrophage","0"
"WNT1_FZD1_LRP5","gd T cells","Macrophage","0"
"WNT1_FZD1_LRP5","Granulocytes","Macrophage","0"
"WNT1_FZD1_LRP5","Innate Lymphocytes","Macrophage","0"
"WNT1_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT1_FZD1_LRP5","Mast Cells","Macrophage","0"
"WNT1_FZD1_LRP5","Monocytes","Macrophage","0"
"WNT1_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT1_FZD1_LRP5","Stem Cells","Macrophage","0"
"WNT1_FZD1_LRP5","Stromal Cells","Macrophage","0"
"WNT1_FZD1_LRP5","T Cell","Macrophage","0"
"WNT1_FZD1_LRP5","Eosinophil","Monocytes","0"
"WNT1_FZD1_LRP5","Eosinophil","Stem Cells","0.01"
"WNT1_FZD1_LRP5","ab T Cell","Stromal Cells","0"
"WNT1_FZD1_LRP5","B Cell","Stromal Cells","0"
"WNT1_FZD1_LRP5","Basophils","Stromal Cells","0"
"WNT1_FZD1_LRP5","Dendritic cells","Stromal Cells","0"
"WNT1_FZD1_LRP5","Eosinophil","Stromal Cells","0"
"WNT1_FZD1_LRP5","gd T cells","Stromal Cells","0"
"WNT1_FZD1_LRP5","Granulocytes","Stromal Cells","0"
"WNT1_FZD1_LRP5","Innate Lymphocytes","Stromal Cells","0"
"WNT1_FZD1_LRP5","Macrophage","Stromal Cells","0"
"WNT1_FZD1_LRP5","Mast Cells","Stromal Cells","0"
"WNT1_FZD1_LRP5","Monocytes","Stromal Cells","0"
"WNT1_FZD1_LRP5","NK Cell","Stromal Cells","0"
"WNT1_FZD1_LRP5","Stem Cells","Stromal Cells","0"
"WNT1_FZD1_LRP5","Stromal Cells","Stromal Cells","0"
"WNT1_FZD1_LRP5","T Cell","Stromal Cells","0"
"WNT1_FZD10_LRP5","Eosinophil","ab T Cell","0"
"WNT1_FZD10_LRP5","Monocytes","ab T Cell","0.02"
"WNT1_FZD10_LRP5","Eosinophil","B Cell","0.04"
"WNT1_FZD10_LRP5","Eosinophil","Basophils","0.03"
"WNT1_FZD10_LRP5","Eosinophil","Dendritic cells","0"
"WNT1_FZD10_LRP5","Monocytes","Dendritic cells","0.01"
"WNT1_FZD10_LRP5","Stromal Cells","Dendritic cells","0.03"
