Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sorting_markers,source_name,SRA Study,Strain,TISSUE
SRR6466947,6 weeks old,RNA-Seq,50,616287100,PRJNA429735,SAMN08358240,271183089,Stromal Cells,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3556896,GSM2932529,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:17,1,GSM2932529,CD45- CD31- CD35- MadCAM- PDPN+ CD140+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466948,6 weeks old,RNA-Seq,50,719570100,PRJNA429735,SAMN08358239,304049591,Stromal Cells,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3556897,GSM2932530,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:33,1,GSM2932530,CD45- CD31- CD35- MadCAM- PDPN+ CD140+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466949,6 weeks old,RNA-Seq,50,622649150,PRJNA429735,SAMN08358324,271044192,Granulocytes,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3556898,GSM2932531,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:19,1,GSM2932531,CD11b+ Ly6G+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466950,6 weeks old,RNA-Seq,50,386537200,PRJNA429735,SAMN08358323,164853384,Granulocytes,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556899,GSM2932532,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:26,1,GSM2932532,CD11b+ Ly6G+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466951,6 weeks old,RNA-Seq,50,736874700,PRJNA429735,SAMN08358322,319829528,Granulocytes,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3556900,GSM2932533,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:20,1,GSM2932533,CD11b+ Ly6G+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466952,6 weeks old,RNA-Seq,50,534253450,PRJNA429735,SAMN08358321,224111771,Granulocytes,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556901,GSM2932534,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932534,CD11b+ Ly6G+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466953,6 weeks old,RNA-Seq,50,531790700,PRJNA429735,SAMN08358320,235097527,Granulocytes,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX3556902,GSM2932535,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:20,1,GSM2932535,CD11b+ Ly6G+,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466954,6 weeks old,RNA-Seq,50,435289300,PRJNA429735,SAMN08358319,182377664,Granulocytes,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556903,GSM2932536,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932536,CD11b+ Ly6G+,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466955,6 weeks old,RNA-Seq,50,334337800,PRJNA429735,SAMN08358318,149936738,Stromal Cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3556904,GSM2932537,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:17,1,GSM2932537,CD45- CD31- PDPN- ITGA7+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466956,6 weeks old,RNA-Seq,50,351861600,PRJNA429735,SAMN08358317,152720583,Stromal Cells,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556905,GSM2932538,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932538,CD45- CD31- PDPN- ITGA7+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466957,6 weeks old,RNA-Seq,50,591277550,PRJNA429735,SAMN08358316,257825149,Innate Lymphocytes,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3556906,GSM2932539,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:24,1,GSM2932539,CD45+ CD3-CD19-CD127+KLRG1+ ST2+,Small Intestine,SRP128986,C57BL/6J,Small Intestine
SRR6466958,6 weeks old,RNA-Seq,50,300915300,PRJNA429735,SAMN08358315,127420501,Innate Lymphocytes,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3556907,GSM2932540,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:29,1,GSM2932540,CD45+ CD3-CD19-CD127+KLRG1+ ST2+,Small Intestine,SRP128986,C57BL/6J,Small Intestine
SRR6466959,6 weeks old,RNA-Seq,50,447645300,PRJNA429735,SAMN08358314,189145996,Innate Lymphocytes,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556908,GSM2932541,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:31,1,GSM2932541,CD45+ CD3-CD19-CD127+KLRG1+ ST2-,Small Intestine,SRP128986,C57BL/6J,Small Intestine
SRR6466960,6 weeks old,RNA-Seq,50,602280300,PRJNA429735,SAMN08358313,262396573,Innate Lymphocytes,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX3556909,GSM2932542,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:25,1,GSM2932542,CD45+ CD3-CD19-CD127+KLRG1+ ST2-,Small Intestine,SRP128986,C57BL/6J,Small Intestine
SRR6466961,6 weeks old,RNA-Seq,50,586011000,PRJNA429735,SAMN08358312,254948776,Innate Lymphocytes,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3556910,GSM2932543,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:19,1,GSM2932543,CD45lo CD3-CD19- NK1.1- Thy1+ NKp46- CCR6+,Lamina Propia,SRP128986,C57BL/6J,Lamina Propia
SRR6466962,6 weeks old,RNA-Seq,50,148604700,PRJNA429735,SAMN08358311,61380978,Innate Lymphocytes,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556911,GSM2932544,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:25,1,GSM2932544,CD45lo CD3-CD19- NK1.1- Thy1+ NKp46- CCR6+,Lamina Propia,SRP128986,C57BL/6J,Lamina Propia
SRR6466963,6 weeks old,RNA-Seq,50,529692450,PRJNA429735,SAMN08358310,221551283,Innate Lymphocytes,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556912,GSM2932545,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932545,CD45lo CD3-CD19- NK1.1- Thy1+ NKp46- CCR6-,Lamina Propia,SRP128986,C57BL/6J,Lamina Propia
SRR6466964,6 weeks old,RNA-Seq,50,717105100,PRJNA429735,SAMN08358306,314668960,Innate Lymphocytes,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556913,GSM2932546,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:19,1,GSM2932546,CD45lo CD3-CD19- NK1.1- Thy1+ NKp46+ CCR6-,Lamina Propia,SRP128986,C57BL/6J,Lamina Propia
SRR6466965,6 weeks old,RNA-Seq,50,461835500,PRJNA429735,SAMN08358305,195639776,Innate Lymphocytes,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556914,GSM2932547,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932547,CD45lo CD3-CD19- NK1.1- Thy1+ NKp46+ CCR6-,Lamina Propia,SRP128986,C57BL/6J,Lamina Propia
SRR6466966,6 weeks old,RNA-Seq,50,768950300,PRJNA429735,SAMN08358309,335028635,Stromal Cells,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556915,GSM2932548,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932548,CD45- CD31+ PDPN+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466967,6 weeks old,RNA-Seq,50,715684400,PRJNA429735,SAMN08358308,301801951,Stromal Cells,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556916,GSM2932549,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:29,1,GSM2932549,CD45- CD31+ PDPN+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466968,6 weeks old,RNA-Seq,50,305526600,PRJNA429735,SAMN08358307,130550321,Stem Cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556917,GSM2932550,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:25,1,GSM2932550,Lin-Sca1+ckit+CD135-CD150+CD48-CD34-,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466969,6 weeks old,RNA-Seq,50,771151850,PRJNA429735,SAMN08358304,338618421,Stem Cells,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3556918,GSM2932552,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932552,Lin-Sca1+ckit+CD135-CD150+CD48-CD34-,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466970,6 weeks old,RNA-Seq,50,450041950,PRJNA429735,SAMN08358303,196187230,Stem Cells,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3556919,GSM2932554,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932554,Lin-Sca1+ckit+CD135-CD150+CD48-CD34+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466971,6 weeks old,RNA-Seq,50,523039800,PRJNA429735,SAMN08358302,220061081,Stem Cells,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556920,GSM2932555,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932555,Lin-Sca1+ckit+CD135-CD150+CD48-CD34+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466972,6 weeks old,RNA-Seq,50,757332550,PRJNA429735,SAMN08358301,330028794,Mast Cells,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3556921,GSM2932556,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:22,1,GSM2932556,CD45+[CD11b-CD11c-][CD19-CD4-CD8-]CD117+FcEr1a+,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466973,6 weeks old,RNA-Seq,50,387862450,PRJNA429735,SAMN08358300,173237668,Macrophages,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3556922,GSM2932557,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932557,CD45+ CD11c+ SiglecF+,Lung,SRP128986,C57BL/6J,Lung
SRR6466974,6 weeks old,RNA-Seq,50,253300700,PRJNA429735,SAMN08358299,109637552,Macrophages,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3556923,GSM2932558,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932558,CD45+ CD11c+ SiglecF+,Lung,SRP128986,C57BL/6J,Lung
SRR6466975,6 weeks old,RNA-Seq,50,557791000,PRJNA429735,SAMN08358298,243147182,Macrophages,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556924,GSM2932559,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932559,F4/80+ICAM2+CD5-CD19-CD43-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466976,6 weeks old,RNA-Seq,50,337236700,PRJNA429735,SAMN08358297,142365429,Macrophages,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3556925,GSM2932560,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:32,1,GSM2932560,F4/80+ICAM2+CD5-CD19-CD43-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466977,6 weeks old,RNA-Seq,50,556558500,PRJNA429735,SAMN08358296,244998082,Macrophages,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556926,GSM2932561,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:16,1,GSM2932561,F4/80+ICAM2+CD5-CD19-CD43-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466978,6 weeks old,RNA-Seq,50,264782550,PRJNA429735,SAMN08358295,111197848,Macrophages,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556927,GSM2932562,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:31,1,GSM2932562,F4/80+ICAM2+CD5-CD19-CD43-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466979,6 weeks old,RNA-Seq,50,225420600,PRJNA429735,SAMN08358294,94215928,Macrophages,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556928,GSM2932563,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932563,CD45+ CD11c+ SiglecF+,Lung,SRP128986,C57BL/6J,Lung
SRR6466980,6 weeks old,RNA-Seq,50,339858650,PRJNA429735,SAMN08358293,152072312,Stem Cells,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556929,GSM2932564,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932564,Lin-Sca1+ckit+CD135-CD150-CD48+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466981,6 weeks old,RNA-Seq,50,623088250,PRJNA429735,SAMN08358292,272440626,Stem Cells,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3556930,GSM2932565,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:21,1,GSM2932565,Lin-Sca1+ckit+CD135-CD150-CD48+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466982,6 weeks old,RNA-Seq,50,226601200,PRJNA429735,SAMN08358291,98553989,Stem Cells,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3556931,GSM2932566,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932566,Lin-Sca1+ckit+CD135-CD150-CD48+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466983,6 weeks old,RNA-Seq,50,555343650,PRJNA429735,SAMN08358290,242090976,Stem Cells,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556932,GSM2932567,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:23,1,GSM2932567,Lin-Sca1+ckit+CD135+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466984,6 weeks old,RNA-Seq,50,489783950,PRJNA429735,SAMN08358289,207113841,Stem Cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556933,GSM2932568,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:30,1,GSM2932568,Lin-Sca1+ckit+CD135+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466985,6 weeks old,RNA-Seq,50,512335250,PRJNA429735,SAMN08358288,221278408,Innate Lymphocytes,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3556934,GSM2932569,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:21,1,GSM2932569,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27-,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466986,6 weeks old,RNA-Seq,50,622426050,PRJNA429735,SAMN08358287,263084790,Innate Lymphocytes,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3556935,GSM2932570,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:33,1,GSM2932570,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27-,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466987,6 weeks old,RNA-Seq,50,657531850,PRJNA429735,SAMN08358286,275111674,Innate Lymphocytes,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3556936,GSM2932571,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:32,1,GSM2932571,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466988,6 weeks old,RNA-Seq,50,398533700,PRJNA429735,SAMN08358285,178382896,Innate Lymphocytes,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3556937,GSM2932572,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932572,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b-CD27+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466989,6 weeks old,RNA-Seq,50,372559350,PRJNA429735,SAMN08358284,161858461,Innate Lymphocytes,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3556938,GSM2932573,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932573,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b-CD27+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466990,6 weeks old,RNA-Seq,50,726890450,PRJNA429735,SAMN08358283,318521507,Innate Lymphocytes,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556939,GSM2932574,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:17,1,GSM2932574,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b-CD27+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466991,6 weeks old,RNA-Seq,50,352071300,PRJNA429735,SAMN08358282,150336028,Innate Lymphocytes,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556940,GSM2932575,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:25,1,GSM2932575,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b-CD27+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466992,6 weeks old,RNA-Seq,50,646762250,PRJNA429735,SAMN08358373,283550735,Innate Lymphocytes,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3556941,GSM2932576,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:21,1,GSM2932576,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466993,6 weeks old,RNA-Seq,50,462956850,PRJNA429735,SAMN08358372,196931363,Innate Lymphocytes,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3556942,GSM2932577,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:29,1,GSM2932577,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466994,6 weeks old,RNA-Seq,50,521565700,PRJNA429735,SAMN08358371,227064870,Innate Lymphocytes,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3556943,GSM2932578,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:16,1,GSM2932578,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466995,6 weeks old,RNA-Seq,50,585592000,PRJNA429735,SAMN08358370,246887518,Innate Lymphocytes,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3556944,GSM2932579,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932579,CD3-CD19-NK1.1+ CD127-CD51-CD49a- DX5+CD11b+CD27+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466996,6 weeks old,RNA-Seq,50,662668900,PRJNA429735,SAMN08358356,289207071,ab T cells,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556945,GSM2932580,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:26,1,GSM2932580,[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466997,8 weeks old,RNA-Seq,50,425936550,PRJNA429735,SAMN08358355,185666211,ab T cells,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556946,GSM2932581,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:16,1,GSM2932581,[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466998,8 weeks old,RNA-Seq,50,641172500,PRJNA429735,SAMN08358354,268994477,ab T cells,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3556947,GSM2932582,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932582,[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466999,6 weeks old,RNA-Seq,50,382100800,PRJNA429735,SAMN08358353,160823333,ab T cells,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556948,GSM2932583,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932583,[CD19-Gr1-Ter119-TCRgd-]TCRbMedCD1dTetramer(alphaGalCer)+,Spleen,SRP128986,C57BL/6J,Spleen
